 INFO  Accepting connections at http://localhost:3000
 HTTP  4/6/2026 12:47:25 AM ::1 Returned 200 in 5 ms
 HTTP  4/6/2026 12:47:25 AM ::1 Returned 200 in 3 ms
 HTTP  4/6/2026 12:47:25 AM ::1 Returned 200 in 3 ms
 HTTP  4/6/2026 12:47:25 AM ::1 GET /work/__next.work.txt?_rsc=1e102
 HTTP  4/6/2026 12:47:25 AM ::1 Returned 200 in 1 ms
 HTTP  4/6/2026 12:47:25 AM ::1 GET /work/__next.work.__PAGE__.txt?_rsc=1tb4h
 HTTP  4/6/2026 12:47:25 AM ::1 GET /_next/static/chunks/11v2bve1vvt5f.js
 HTTP  4/6/2026 12:47:25 AM ::1 GET /__next._head.txt?_rsc=i5r6x
 HTTP  4/6/2026 12:47:25 AM ::1 Returned 200 in 2 ms
 HTTP  4/6/2026 12:47:25 AM ::1 Returned 200 in 1 ms
 HTTP  4/6/2026 12:47:25 AM ::1 Returned 200 in 2 ms
 HTTP  4/6/2026 12:47:25 AM ::1 GET /__next.__PAGE__.txt?_rsc=sm5cb
 HTTP  4/6/2026 12:47:25 AM ::1 Returned 200 in 1 ms
 HTTP  4/6/2026 12:47:25 AM ::1 GET /_next/static/chunks/0-_i09fu416q7.js
 HTTP  4/6/2026 12:47:25 AM ::1 Returned 200 in 2 ms
 HTTP  4/6/2026 12:47:25 AM ::1 GET /_next/static/chunks/05nkevm0yl3xs.js
 HTTP  4/6/2026 12:47:25 AM ::1 Returned 200 in 1 ms
